n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,wifi,precisions,codes_types_mediations,codes_publics,codes_thematiques,lat,lon,BAN_latitude,BAN_longitude,BAN_adress,BAN_adress_full,BAN_city,BAN_postcode,BAN_depcode
Ref_0181,,31,Toulouse,,Espaces Seniors Connectes,,31100,14 place Abbal,,14 place Abbal 31100 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.571328,1.401353,43.571328,1.401353,14 Place André Abbal,14 Place André Abbal 31100 Toulouse,Toulouse,31100,31
Ref_0182,,31,Toulouse,,point information jeunesse (PIJ) Mirail,,31100,6 chemin Edgarue Varese,,6 chemin Edgarue Varese 31100 Toulouse,Association,,,05 61 72 45 37,pijtoulouse@crij.org,www.ij-mirail.org,14h - 17h ,14h - 17h ,10h - 12h,14h - 17h ,10h - 12h,,,Mars 2021,TP,Gratuit,ORD,TP,,,ORDM,TP,Sur RDV,,ENT,J,Atelier thématique pour les public de moins de 30 ans les mercredi de 14h à 16h,,,,,,,,,,,,,ORD-ORDM-ENT,TP-TP-TP-J,,43.573614,1.40405,43.573614,1.40405,6 Cheminement Edgard Varèse,6 Cheminement Edgard Varèse 31100 Toulouse,Toulouse,31100,31
Ref_0183,,31,Toulouse,,PIJ,,31100,,,31100 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.604082,1.433805,43.604082,1.433805,Toulouse,Toulouse,Toulouse,31000,31
Ref_0184,,31,Toulouse,,MCEF,,31100,57 allées de Bellefontaine,,57 allées de Bellefontaine 31100 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.565245,1.400657,43.565245,1.400657,57 Allée de Bellefontaine,57 Allée de Bellefontaine 31100 Toulouse,Toulouse,31100,31
Ref_0185,,31,Toulouse,,maison des solidarités Borderouge,Conseil départemental,31200,4 rue françoise d'eaubonne,Bat A,4 rue françoise d'eaubonne 31200 Toulouse,Collectivité territoriale,,,05 34 36 17 00,,,,,,,,,,Decembre 2019,,,ORD,,,,ACCDA,,,,,,,,,,,,,,,,,,,ORD-ACCDA,,,43.642506,1.453359,43.642506,1.453359,4 Rue Françoise d'Eaubonne,4 Rue Françoise d'Eaubonne 31200 Toulouse,Toulouse,31200,31
Ref_0186,,31,Toulouse,,LA FABRIQUE SOLIDAIRE DES MINIMES (FA SOL MI),,31200,29 bis avenue des Mazades,local des Mazades,29 bis avenue des Mazades 31200 Toulouse,Association,,,05 61 25 38 28,,www.lafabriquesolidaire.org,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,9h30 - 12h30 et 13h30 - 17h,,Decembre 2019,,,ORDM,,,,SENS,,,,COMP,,,,,,,,,,,,APTIC,,,ORDM-SENS-COMP,,,43.623129,1.441383,43.623129,1.441383,29bis Avenue des Mazades,29bis Avenue des Mazades 31200 Toulouse,Toulouse,31200,31
Ref_0187,,31,Toulouse,,Pole Emploi Borderouge,Pole Emploi,31200,6 rue françoise d'eaubonne,Bat C,6 rue françoise d'eaubonne 31200 Toulouse,,Agence Pôle Emploi,,,,www.pole-emploi.fr,,,,,,,,Decembre 2019,,,ORDM,,,,SENS,,,,,,,,ACCDA,,,,,,,,,,,ORDM-SENS-ACCDA,,,43.643232,1.453016,43.643232,1.453016,6 Rue Françoise d'Eaubonne,6 Rue Françoise d'Eaubonne 31200 Toulouse,Toulouse,31200,31
Ref_0188,,31,Toulouse,,Parole expression,,31200,19 rue Marc Arcis,,19 rue Marc Arcis 31200 Toulouse,Association,,,05 82 95 67 80,,paroleexpression.fr,,,,,,,,Decembre 2019,Etranger,,ACCDA,,,,COMP,,,,,,,,,,,,,,,,,,,ACCDA-COMP,Etranger,,43.623632,1.43616,43.623632,1.43616,19 Rue Marc Arcis,19 Rue Marc Arcis 31200 Toulouse,Toulouse,31200,31
Ref_0189,,31,Toulouse,,maison des solidarités Minimes,Conseil départemental,31200,33 rue joseph jacquard,,33 rue joseph jacquard 31200 Toulouse,Collectivité territoriale,,,05 62 72 77 80,,,,,,,,,,Decembre 2019,,,ACCDA,,,,,,,,,,,,,,,,,,,,,,,ACCDA,,,43.623466,1.427715,43.623466,1.427715,33 Rue Joseph Jacquard,33 Rue Joseph Jacquard 31200 Toulouse,Toulouse,31200,31
Ref_0190,,31,Toulouse,,Secours populaire,Secours populaire,31200,147 avenue des etats unis,,147 avenue des etats unis 31200 Toulouse,Association,,,05 34 40 34 40,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.63554,1.43059,43.63554,1.43059,147 Avenue des Etats Unis,147 Avenue des Etats Unis 31200 Toulouse,Toulouse,31200,31
Ref_0191,,31,Toulouse,,Secours catholique,Secours catholique,31200,place du marche aux cochons,,place du marche aux cochons 31200 Toulouse,Association,,,05 34 25 67 40,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.620412,1.435066,43.620412,1.435066,Place du Marché Aux Cochons,Place du Marché Aux Cochons 31200 Toulouse,Toulouse,31200,31
Ref_0192,,31,Toulouse,,point information jeunesse (PIJ) Quartier Nord,,31200,118 Boulevard Pierre et Marie Curie,,118 Boulevard Pierre et Marie Curie 31200 Toulouse,Association,,,05 62 72 23 78,cyberbasetoulousenord@orange.fr,http://www.pijtoulousenord.org,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.626305,1.43686,43.626305,1.43686,118 Boulevard Pierre et Marie Curie,118 Boulevard Pierre et Marie Curie 31200 Toulouse,Toulouse,31200,31
Ref_0193,,31,Toulouse,,Entr'act solidarite,,31200,148 avenue de fronton,,148 avenue de fronton 31200 Toulouse,Association,,,05 61 55 59 26,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.637631,1.433421,43.637631,1.433421,148 Avenue de Fronton,148 Avenue de Fronton 31200 Toulouse,Toulouse,31200,31
Ref_0194,,31,Toulouse,,Mission Locale Antenne quartier nord,,31200,1 rue ernest renan,,1 rue ernest renan 31200 Toulouse,Association,,,05 61 57 59 92,,https://www.mltoulouse.org/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.632985,1.443884,43.632985,1.443884,Rue Ernest Renan,Rue Ernest Renan 31200 Toulouse,Toulouse,31200,31
Ref_0195,,31,Toulouse,,Centre social Alliances & Cultures Cap Nord,,31200,12 rue Clouet,,12 rue Clouet 31200 Toulouse,,Centre social,,05 61 13 35 96,alliancesetculturesnord@yahoo.fr,www.alliancesetcultures.ouvaton.org,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.631471,1.43278,43.631471,1.43278,12 Rue Marcel Clouet,12 Rue Marcel Clouet 31200 Toulouse,Toulouse,31200,31
Ref_0196,,31,Toulouse,,CCPS et CARMI,,31200,44 chemin des izards,,44 chemin des izards 31200 Toulouse,,Centre social,,05 62 72 48 50,clshp@ccpst.org carmi@ccpst.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.639736,1.4445,43.639736,1.4445,44 Chemin des Izards,44 Chemin des Izards 31200 Toulouse,Toulouse,31200,31
Ref_0197,,31,Toulouse,,Alliances et Cultures Les Troênes,,31200,69 rue des Troênes,,69 rue des Troênes 31200 Toulouse,,Centre social,,05 61 57 14 71,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.617705,1.414786,43.617705,1.414786,69 Rue des Troènes,69 Rue des Troènes 31200 Toulouse,Toulouse,31200,31
Ref_0198,,31,Toulouse,,Antenne CCPS Picarel,,31200,26 allées Django Reinhard,,26 allées Django Reinhard 31200 Toulouse,,Centre social,,05 61 70 45 62,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.647936,1.411325,43.647936,1.411325,Allée Django Reinhardt,Allée Django Reinhardt 31200 Toulouse,Toulouse,31200,31
Ref_0199,,31,Toulouse,,Antenne CCPS Les Chênes,,31200,49 rue des mésanges,,49 rue des mésanges 31200 Toulouse,,Centre social,,05 62 75 46 29,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.660754,1.411986,43.660754,1.411986,49 Rue des Mésanges,49 Rue des Mésanges 31200 Toulouse,Toulouse,31200,31
Ref_0200,,31,Toulouse,,Centre social Izards/Borderouge,,31200,1 place Micoulaud,,1 place Micoulaud 31200 Toulouse,,Centre social,,05 67 04 14 80,,,,,,,,,,Decembre 2019,,,COMP,TP,,,ORD,ALL,Libre,,ORD,TP,Libre,,,,,,,,,,,,,COMP-ORD-ORD,TP-ALL-TP,,43.638133,1.443975,43.638133,1.443975,Place Micoulaud,Place Micoulaud 31100 Toulouse,Toulouse,31100,31
Ref_0201,,31,Toulouse,,MJC Croix-Daurade,,31200,,,31200 Toulouse,,,,,,http://www.mjccroixdaurade.fr/,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.646715,1.433067,43.646715,1.433067,Avenue de Fronton,Avenue de Fronton 31200 Toulouse,Toulouse,31200,31
Ref_0202,,31,Cugnaux,,Espace Arc-En-Ciel,,31270,1 rue Vincent Auriol,,1 rue Vincent Auriol 31270 Cugnaux,,Centre social,,05 62 87 30 11,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.53732,1.346527,43.53732,1.346527,Rue Vincent Auriol,Rue Vincent Auriol 31270 Cugnaux,Cugnaux,31270,31
Ref_0203,,31,Castanet-Tolosan,,maison des solidarités Castanet-Tolosan,Conseil départemental,31300,68 avenue de Lauragais,,68 avenue de Lauragais 31300 Castanet-Tolosan,Collectivité territoriale,,,05 62 71 91 80,,,,,,,,,,Decembre 2019,,,ACCDA,,,,,,,,,,,,,,,,,,,,,,,ACCDA,,,43.512644,1.500883,43.512644,1.500883,68 Avenue du Lauragais,68 Avenue du Lauragais 31320 Castanet-Tolosan,Castanet-Tolosan,31320,31
Ref_0204,,31,Toulouse,,Centre Social – ASSQOT,,31300,18 rue Vincent Scotto,,18 rue Vincent Scotto 31300 Toulouse,,Centre social,,,,www.assqot.com,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.598293,1.416982,43.598293,1.416982,18 Rue Vincent Scotto,18 Rue Vincent Scotto 31300 Toulouse,Toulouse,31300,31
Ref_0205,,31,Toulouse,,Centre social annexe Arenes romaines,,31300,107 avenue des Arènes Romaines,,107 avenue des Arènes Romaines 31300 Toulouse,,Centre social,,05 61 16 09 46,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.615071,1.396945,43.615071,1.396945,107 Avenue des Arènes Romaines,107 Avenue des Arènes Romaines 31300 Toulouse,Toulouse,31300,31
Ref_0206,,31,Toulouse,,CCPS Hameau de fleurance,,31300,12 impasse benozzi,,12 impasse benozzi 31300 Toulouse,,Centre social,,05 62 72 48 50,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.603236,1.353572,43.603236,1.353572,12 Impasse Jeanne Benozzi,12 Impasse Jeanne Benozzi 31300 Toulouse,Toulouse,31300,31
Ref_0207,,31,Toulouse,,Point Infomartions Jeunesse Empalot,,31400,,,31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ORD,,,,ACCDS,,,,,,,,,,,,,,,,,,,ORD-ACCDS,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0208,,31,Toulouse,,Mediatheque Empalot,Toulouse Metropôle,31400,40 avenue jean moulin,,40 avenue jean moulin 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ORD,TP,Nécessité d'avoir une carte d'adhésion,,SENS,,,,COMP,,,,,,,,,,,,,,,ORD-SENS-COMP,TP,,43.578868,1.441595,43.578868,1.441595,40 Avenue Jean Moulin,40 Avenue Jean Moulin 31400 Toulouse,Toulouse,31400,31
Ref_0209,,31,Toulouse,,maison des citoyennetes Niel,Toulouse Metropôle,31400,81 rue saint roch,,81 rue saint roch 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.578796,1.44655,43.578796,1.44655,81 Rue Saint Roch,81 Rue Saint Roch 31400 Toulouse,Toulouse,31400,31
Ref_0210,,31,Toulouse,,Bibliotheque Mediatheque Rangueil,Toulouse Metropôle,31400,19 rue claude forbin,,19 rue claude forbin 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.574867,1.46395,43.574867,1.46395,19 Rue Claude de Forbin,19 Rue Claude de Forbin 31400 Toulouse,Toulouse,31400,31
Ref_0211,,31,Toulouse,,Bib' Insa,,31400,135 avenue de rangueil,,135 avenue de rangueil 31400 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.569183,1.466106,43.569183,1.466106,135 Avenue de Rangueil,135 Avenue de Rangueil 31400 Toulouse,Toulouse,31400,31
Ref_0212,,31,Toulouse,,Bibliotheque Universitaire de Sciences,,31400,118 rte de narbonne,,118 rte de narbonne 31400 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,ORD,,,,,,,,,,,,,,,,,,,,,,,ORD,,,43.561566,1.463029,43.561566,1.463029,118 Route de Narbonne,118 Route de Narbonne 31400 Toulouse,Toulouse,31400,31
Ref_0213,,31,Toulouse,,Avenir Nouvelle maison des chomeurs,,31400,115 rue bonnat,,115 rue bonnat 31400 Toulouse,Association,,,05 34 31 33 11,avenir.toulouse@wanadoo.fr,https://maisondeschomeurs.org,9h-12h,9h-12h,9h-12h,9h-12h,9h-12h,,,Decembre 2019,,,ORDM,TP,tous les matins,,ACCDS,TP ETR DE,Sur rendez-vous,,SENS,TP,1 fois par mois,,COMP,TP DE,Sur inscription,Sur inscription,,,,,EPN-TL-APTIC,Oui,,ORDM-ACCDS-SENS-COMP,TP-TP ETR DE-TP-TP DE,,43.581165,1.45768,43.581165,1.45768,115 Rue Bonnat,115 Rue Bonnat 31400 Toulouse,Toulouse,31400,31
Ref_0214,,31,Toulouse,,Maison Des Solidarités Empalot,Conseil Départemental,31400,32 allée henri sellier,,32 allée henri sellier 31400 Toulouse,Collectivité territoriale,,,05 61 14 76 00,,,,,,,,,,Decembre 2019,,,ORDM,,,,ACCDA,,,,,,,,,,,,,,,,,,,ORDM-ACCDA,,,43.577351,1.43808,43.577351,1.43808,32 Allée Henri Sellier,32 Allée Henri Sellier 31400 Toulouse,Toulouse,31400,31
Ref_0215,,31,Toulouse,,Centre social Jean Moulin / Empalot (CAF),,31400,38 avenue jean moulin,,38 avenue jean moulin 31400 Toulouse,,Centre social,,05 34 31 94 42,,https://www.facebook.com/cs.empalot/,8h30 - 17h30,8h30 - 17h30,8h30 - 17h30,8h30 - 17h30,8h30 - 17h30,8h30 - 17h30,,Decembre 2019,TP,Libre,ORDM,,,,ACCDS,,,,SENS,,,,ORDM,ALL,,,,,,,,,,ORDM-ACCDS-SENS-ORDM,TP-ALL,,43.579108,1.441695,43.579108,1.441695,38 Avenue Jean Moulin,38 Avenue Jean Moulin 31400 Toulouse,Toulouse,31400,31
Ref_0216,,31,Toulouse,,Mission Locale Empalot,Mission locale Toulouse,31400,6 Place Guy Hersant,,6 Place Guy Hersant 31400 Toulouse,Collectivité territoriale,,,05 34 31 25 25,,www.mltoulouse.org,,,,,,,,Decembre 2019,,,ORDM,,,,ACCDA,,,,,,,,,,,,,,,,,,,ORDM-ACCDA,,,43.577638,1.443388,43.577638,1.443388,6 Place Guy Hersant,6 Place Guy Hersant 31400 Toulouse,Toulouse,31400,31
Ref_0217,,31,Toulouse,,Pole emploi St Michel,Pôle Emploi,31400,2 avenue de l'urss,,2 avenue de l'urss 31400 Toulouse,,Agence Pôle Emploi,,,,,,,,,,,,Decembre 2019,,,ORDM,,,,ACCDA,,,,SENS,,,,,,,,,,,,,,,ORDM-ACCDA-SENS,,,43.583959,1.448217,43.583959,1.448217,2 Avenue de l'URSS,2 Avenue de l'URSS 31100 Toulouse,Toulouse,31100,31
Ref_0218,,31,Toulouse,,Pole emploi La plaine,Pôle Emploi,31400,1 impasse rene couzinet,,1 impasse rene couzinet 31400 Toulouse,,Agence Pôle Emploi,,,,,,,,,,,,Decembre 2019,,,ORDM,,,,ACCDA,,,,SENS,,,,,,,,,,,,,,,ORDM-ACCDA-SENS,,,43.582804,1.492372,43.582804,1.492372,1 Impasse René Couzinet,1 Impasse René Couzinet 31500 Toulouse,Toulouse,31500,31
Ref_0219,,31,Toulouse,,Rangueil club de prevention,Toulouse Metropôle,31400,34 avenue de Rangueil,,34 avenue de Rangueil 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ORDM,,,,ACCDA,,,,,,,,,,,,,,,,,,,ORDM-ACCDA,,,43.576559,1.454654,43.576559,1.454654,34 Avenue de Rangueil,34 Avenue de Rangueil 31400 Toulouse,Toulouse,31400,31
Ref_0220,,31,Toulouse,,Centre Epide,,31400,3 avenue du professeurue Joseph Ducuing,,3 avenue du professeurue Joseph Ducuing 31400 Toulouse,,,,05 81 60 89 89,,www.epide.fr,,,,,,,,Decembre 2019,,,ORDM,,,,COMP,,,,ACCDA,,,,SENS,,,,,,,,,,,ORDM-COMP-ACCDA-SENS,,,43.561901,1.45923,43.561901,1.45923,Avenue du Professeur Joseph Ducuing,Avenue du Professeur Joseph Ducuing 31100 Toulouse,Toulouse,31100,31
Ref_0221,,31,Toulouse,,Rectorat,Rectorat 31,31400,75 rue saint roch,,75 rue saint roch 31400 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,ORDM,,,,,,,,,,,,,,,,,,,,,,,ORDM,,,43.578426,1.447024,43.578426,1.447024,75 Rue Saint Roch,75 Rue Saint Roch 31400 Toulouse,Toulouse,31400,31
Ref_0222,,31,Toulouse,,MJC du Pont des demoiselles,,31400,63 bis avenue Saint-Exupéry,,63 bis avenue Saint-Exupéry 31400 Toulouse,Association,,,05 61 52 24 33,contact@mjcpontdesdemoiselles.fr,http://mjc.demoiselles.free.fr/,,,,,,,,Decembre 2019,,,COMP,,,,,,,,,,,,,,,,,,,,,,,COMP,,,43.585621,1.465934,43.585621,1.465934,63bis Avenue Antoine de Saint Exupéry,63bis Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0223,,31,Toulouse,,Relai 2A (association Le relai),,31400,15 rue du japon,,15 rue du japon 31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,COMP,,,,ACCDA,,,,,,,,,,,,,,,,,,,COMP-ACCDA,,,43.590454,1.45837,43.590454,1.45837,15 Rue du Japon,15 Rue du Japon 31400 Toulouse,Toulouse,31400,31
Ref_0224,,31,Toulouse,,Antenne GRETA,GRETA,31400,3 rue andré daste,,3 rue andré daste 31400 Toulouse,Entreprise,,,,,,,,,,,,,Decembre 2019,,,COMP,,,,,,,,,,,,,,,,,,,,,,,COMP,,,43.58155,1.43935,43.58155,1.43935,3 Rue André Daste,3 Rue André Daste 31400 Toulouse,Toulouse,31400,31
Ref_0225,,31,Toulouse,,Ligue de l'enseignement,Ligue de l'enseignement,31400,38 avenue Jean Moulin,,38 avenue Jean Moulin 31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,SENS,,,,COMP,,,,,,,,,,,,,,,,,,,SENS-COMP,,,43.579108,1.441695,43.579108,1.441695,38 Avenue Jean Moulin,38 Avenue Jean Moulin 31400 Toulouse,Toulouse,31400,31
Ref_0226,,31,Toulouse,,La main à la pate,,31400,62 rue de Nîmes,,62 rue de Nîmes 31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,ACCDS,,,43.575318,1.465174,43.575318,1.465174,62 Rue de Nîmes,62 Rue de Nîmes 31400 Toulouse,Toulouse,31400,31
Ref_0227,,31,Toulouse,,Generations solidaires,,31400,30 avenue jean moulin,,30 avenue jean moulin 31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,ACCDS,,,,ACCN,,,,,,,,,,,,,,,,,,,ACCDS-ACCN,,,43.580927,1.441941,43.580927,1.441941,30 Avenue Jean Moulin,30 Avenue Jean Moulin 31400 Toulouse,Toulouse,31400,31
Ref_0228,,31,Toulouse,,ASEER,,31400,38 avenue jean moulin,,38 avenue jean moulin 31400 Toulouse,Association,,,05 61 14 26 12,aseer@laposte.net,,,,,,,,,Decembre 2019,,,ACCDS,,,,,,,,,,,,,,,,,,,,,,,ACCDS,,,43.579108,1.441695,43.579108,1.441695,38 Avenue Jean Moulin,38 Avenue Jean Moulin 31400 Toulouse,Toulouse,31400,31
Ref_0229,,31,Toulouse,,Centre annexe Empalot,Conseil Départemental,31400,10 rue jean paul blanchard,,10 rue jean paul blanchard 31400 Toulouse,Collectivité territoriale,,,05 61 14 94 20,,,,,,,,,,Decembre 2019,,,ACCDA,,,,,,,,,,,,,,,,,,,,,,,ACCDA,,,43.588288,1.447981,43.588288,1.447981,10 Rue Jean Pierre Blanchard,10 Rue Jean Pierre Blanchard 31400 Toulouse,Toulouse,31400,31
Ref_0230,,31,Toulouse,,Maison Des Solidarités Rangueil,Conseil Départemental,31400,39 rue camille desmoullins,,39 rue camille desmoullins 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ACCDA,,,,,,,,,,,,,,,,,,,,,,,ACCDA,,,43.581596,1.453397,43.581596,1.453397,39 Rue Camille Desmoulins,39 Rue Camille Desmoulins 31400 Toulouse,Toulouse,31400,31
Ref_0231,,31,Toulouse,,Maison Des Solidarités Pont des demoiselles,Conseil Départemental,31400,PLACE MENDES FRANCE,,PLACE MENDES FRANCE 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,ACCDA,,,,,,,,,,,,,,,,,,,,,,,ACCDA,,,43.587694,1.461542,43.587694,1.461542,Place Pierre Mendes France,Place Pierre Mendes France 31400 Toulouse,Toulouse,31400,31
Ref_0232,,31,Toulouse,,AIFOMEJ,,31400,5 impasse des hérons,,5 impasse des hérons 31400 Toulouse,Association,,,05 61 53 52 34,,,,,,,,,,Decembre 2019,,,ACCN,,,,ACCDS,,,,,,,,,,,,,,,,,,,ACCN-ACCDS,,,43.57568,1.437123,43.57568,1.437123,5 Impasse des Hérons,5 Impasse des Hérons 31400 Toulouse,Toulouse,31400,31
Ref_0233,,31,Toulouse,,Karavan,,31400,,,31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0234,,31,Toulouse,,CIDFF,,31400,95 grande rue st michel,,95 grande rue st michel 31400 Toulouse,Association,,,05 34 31 23 31,cidff31@cdiff31.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.588909,1.445985,43.588909,1.445985,95 Grande-Rue Saint Michel,95 Grande-Rue Saint Michel 31400 Toulouse,Toulouse,31400,31
Ref_0235,,31,Toulouse,,Empalot Services,,31400,,,31400 Toulouse,Association,,,,toulouse-empalot@cnlrq.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0236,,31,Toulouse,,Restos du coeur,Restos du coeur,31400,286 rte de revel,,286 rte de revel 31400 Toulouse,Association,,,09 83 98 46 19,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.565954,1.510915,43.565954,1.510915,286 Route de Revel,286 Route de Revel 31400 Toulouse,Toulouse,31400,31
Ref_0237,,31,Toulouse,,Emmaüs Agir,Emmaüs,31400,43 avenue de l'URSS,,43 avenue de l'URSS 31400 Toulouse,Association,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.581551,1.448801,43.581551,1.448801,43 Avenue de l'URSS,43 Avenue de l'URSS 31100 Toulouse,Toulouse,31100,31
Ref_0238,,31,Toulouse,,Maison Des Solidarités Montaudran,Conseil Départemental,31400,,,31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0239,,31,Toulouse,,Mairie de quartier Pont des Demoiselles,,31400,,,31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0240,,31,Toulouse,,Maison de quartier rangueil/centre social,,31400,,,31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0241,,31,Toulouse,,Bibliotheque des ponts des demoiselles,,31400,63 bis avenue st exupery,,63 bis avenue st exupery 31400 Toulouse,Collectivité territoriale,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.585621,1.465934,43.585621,1.465934,63bis Avenue Antoine de Saint Exupéry,63bis Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0242,,31,Toulouse,,Cosmopolitaine,,31400,,,31400 Toulouse,Association,,,,contact@cosmopolitaine.org,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
Ref_0243,,31,Toulouse,,CLCV,,31400,,,31400 Toulouse,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.582902,1.472589,43.582902,1.472589,Avenue Antoine de Saint Exupéry,Avenue Antoine de Saint Exupéry 31400 Toulouse,Toulouse,31400,31
