n_ref,statut_infos,departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
Ref_0044,,11,Narbonne,,Centre Social et Culturel NELSON MANDELA,,11100,4 Promenade Emilie Palomo,,4 Promenade Emilie Palomo 11100 Narbonne,,Centre social,,04 68 41 77 26,centresocialnarbonne@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.187463,2.985839,,,,43.187463,2.985839,4 Promenade Emilie Palomo 11100 Narbonne,0.96,housenumber,11262_rldo2e_00004,4,Promenade Emilie Palomo,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
Ref_0045,,11,Carcassonne,,Ecole de la seconde chance,,11000,82 Rue Barbacane,,82 Rue Barbacane 11000 Carcassonne,,,,04 68 25 56 74,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.2084,2.360942,,,,43.2084,2.360942,82 Rue Barbacane 11000 Carcassonne,0.97,housenumber,11069_0470_00082,82,Rue Barbacane,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0046,,11,Narbonne,,MAISON DIGITALE DU CIDFF,,11100,37 avenue des Pyrénées,,37 avenue des Pyrénées 11100 Narbonne,,,,04.68.42.51.33,lri.narbonne@cidff.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.182851,2.99778,,,,43.182851,2.99778,37 Avenue des Pyrenees 11100 Narbonne,0.97,housenumber,11262_4300_00037,37,Avenue des Pyrenees,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
Ref_0047,,11,Narbonne,,LA BULLE DU WEB (WAW-coworking),,11100,12 Boulevard Gambetta,,12 Boulevard Gambetta 11100 Narbonne,,,,09 82 38 35 49,hello@labulleweb.com,,,,,,,,,Decembre 2019,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.182401,3.007402,W,,,43.182401,3.007402,12 Boulevard Gambetta 11100 Narbonne,0.97,housenumber,11262_2130_00012,12,Boulevard Gambetta,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
Ref_0048,,11,Narbonne,,Ecole de la seconde Chance,,11100,1 avenue gustave eiffel,,1 avenue gustave eiffel 11100 Narbonne,,,,04 68 40 34 12,crfp.verdegay@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.158696,2.978507,,,,43.158696,2.978507,1 Avenue Gustave Eiffel 11100 Narbonne,0.97,housenumber,11262_2377_00001,1,Avenue Gustave Eiffel,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
Ref_0049,,11,Caunes-Minervois,,Maison de services au public Caunes-Minervois,,11160,Allée des Raisins,,Allée des Raisins 11160 Caunes-Minervois,,MSAP,,,msap.caunes-minervois@laposte.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.327227,2.523028,,,,43.326931,2.523133,Allée des Raisins 11160 Caunes-Minervois,0.95,street,11081_0179,,Allée des Raisins,,11160,Caunes-Minervois,"11, Aude, Occitanie",11081,,,
Ref_0050,,11,Durban-Corbières,,France Services - Durban-Corbières,,11360,6 Rue de la Mairie,,6 Rue de la Mairie 11360 Durban-Corbières,,MSAP,,04 68 45 89 00,durban-corbieres@france-services.gouv.fr,https://www.cohesion-territoires.gouv.fr/france-services,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,de 09h00 à 12h15 de 13h30 à 15h40,,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.99612,2.81385,,,,42.99612,2.81385,6 Rue de la Mairie 11360 Durban-Corbières,0.95,housenumber,11124_0126_00006,6,Rue de la Mairie,,11360,Durban-Corbières,"11, Aude, Occitanie",11124,,,
Ref_0051,,11,Palaja,,Médiathèque Municipale de Palaja,,11570,Rue Lô Moral,,Rue Lô Moral 11570 Palaja,,Médiathèque,,04 68 79 85 73,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.174999,2.387838,,,,43.174999,2.387838,Rue Lo Moral 11570 Palaja,0.95,street,11272_0077,,Rue Lo Moral,,11570,Palaja,"11, Aude, Occitanie",11272,,,
Ref_0052,,11,Alzonne,,Médiathèque d'Alzonne,,11170,Parc Municipal,,Parc Municipal 11170 Alzonne,,Médiathèque,,04 68 76 33 02,mediatheque@carcassonne-agglo.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.254495,2.175926,ORD,TP,,43.254495,2.175926,Rue du Parc 11170 Alzonne,0.49,street,11009_0096,,Rue du Parc,,11170,Alzonne,"11, Aude, Occitanie",11009,,,
Ref_0053,,11,Capendu,,Maison de services au public - Piemont d'Alaric,,11700,2 Rue des Figuères,,2 Rue des Figuères 11700 Capendu,,MSAP,,04 68 79 87 01,msap@piemont-alaric.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.184142,2.556949,,,,43.184142,2.556949,2 Rue des Figuéres 11700 Capendu,0.95,housenumber,11068_0035_00002,2,Rue des Figuéres,,11700,Capendu,"11, Aude, Occitanie",11068,,,
Ref_0054,,11,Capendu,,Le Chai : Espace culturel,,11700,63 Avenue des Anciens Combattants,,63 Avenue des Anciens Combattants 11700 Capendu,Association,,,04 68 79 37 91,lechai@piemont-alaric.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.187031,2.551455,,,,43.187031,2.551455,63 Avenue des Anciens Combattants 11700 Capendu,0.96,housenumber,11068_0007_00063,63,Avenue des Anciens Combattants,,11700,Capendu,"11, Aude, Occitanie",11068,,,
Ref_0055,,11,Axat,,Mairie d'Axat,,11140,66 Route Départementale,,66 Route Départementale 11140 Axat,Collectivité territoriale,,,04 68 20 50 28,mairie.axat@axat.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80471,2.234378,,,,42.80471,2.234378,66 Route Departementale 11140 Axat,0.95,housenumber,11021_0105_00066,66,Route Departementale,,11140,Axat,"11, Aude, Occitanie",11021,,,
Ref_0056,,11,Espezel,,Médiathèque du Pays de Sault,,11230,Grand'Rue,,Grand'Rue 11230 Espezel,,Médiathèque,,04 68 74 38 93,media.espezel@gmail.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.88641,2.045127,,,,42.88729,2.045895,Route d’Espezel 11230 Puivert,0.49,street,11303_0331,,Route d’Espezel,,11230,Puivert,"11, Aude, Occitanie",11303,,,
Ref_0057,,11,Chalabre,,Bibliothèque Municipale de Chalabre,,11230,4 Rue des Boulangers,,4 Rue des Boulangers 11230 Chalabre,,Bibliothèque,,04 68 69 49 06,epn@pyreneesaudoises.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.983704,2.006451,ORD,TP,,42.98373,2.00626,4 Rue des Boulangers 11230 Chalabre,0.95,housenumber,11091_0040_00004,4,Rue des Boulangers,,11230,Chalabre,"11, Aude, Occitanie",11091,,,
Ref_0058,,11,Espéraza,,Médiathèque d'Espéraza,,11260,avenue de la gare,,avenue de la gare 11260 Espéraza,,Médiathèque,,04 68 74 13 51,bibliotheque_esperaza@Yahoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.935189,2.219577,,,,42.935189,2.219577,Avenue de la Gare 11260 Espéraza,0.96,street,11129_0130,,Avenue de la Gare,,11260,Espéraza,"11, Aude, Occitanie",11129,,,
Ref_0059,,11,Villerouge-Termenès,,Maison de services au public POM'S de Villerouge-Termenès,,11330,8 Rue du Couvent,,8 Rue du Couvent 11330 Villerouge-Termenès,,MSAP,,04 68 70 00 16,poms.villerouge@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,43.007073,2.627163,,,,43.007073,2.627163,8 Rue du Couvent 11330 Villerouge-Termenès,0.94,housenumber,11435_0065_00008,8,Rue du Couvent,,11330,Villerouge-Termenès,"11, Aude, Occitanie",11435,,,
Ref_0060,,11,Tuchan,,France Services - Tuchan,,11350,21 rue de la poste,,21 rue de la poste 11350 Tuchan,,MSAP,,04 68 42 42 41,Tuchan@france-services.gouv.fr1,https://www.cohesion-territoires.gouv.fr/france-services,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 12h00 de 13h30 à 15h30,de 09h00 à 11h30,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,42.889375,2.718155,,,,42.889375,2.718155,21 Rue de la Poste 11350 Tuchan,0.95,housenumber,11401_0083_00021,21,Rue de la Poste,,11350,Tuchan,"11, Aude, Occitanie",11401,,,
Ref_0061,,11,Trèbes,,Médiathèque de Trèbes,,11800,place de l'hôtel de ville,,place de l'hôtel de ville 11800 Trèbes,,Médiathèque,,04 68 78 51 33,bibliotheque-trebes@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.209491,2.442856,,,,43.209491,2.442856,Place de l'Hôtel de Ville 11800 Trèbes,0.95,street,11397_0122,,Place de l'Hôtel de Ville,,11800,Trèbes,"11, Aude, Occitanie",11397,,,
Ref_0062,,11,Saint-Laurent de la Cabrerisse,,Médiathèque de Saint-Laurent de la Cabrerisse,,11220,22 avenue de narbonne,,22 avenue de narbonne 11220 Saint-Laurent de la Cabrerisse,,Médiathèque,,04 68 33 39 30,mediathequeslc11@gmail.com,https://www.st-laurent-de-la-cabrerisse.com/,,9h30-11h30 & 17h-18h,9h30-11h30 & 16h-18h,,9h30-11h30 & 16h-18h,9h30-11h30,,Février 2022,TP,,ORDM,TP,,,,,,,,,,,,,,,,,,,,,oui,,43.08489,2.70105,ORDM,TP-TP,,43.08489,2.70105,22 Avenue de Narbonne 11220 Saint-Laurent-de-la-Cabrerisse,0.95,housenumber,11351_0001_00022,22,Avenue de Narbonne,,11220,Saint-Laurent-de-la-Cabrerisse,"11, Aude, Occitanie",11351,,,
Ref_0063,,11,Saint-André de Roquelongue,,Médiathèque Milcom de Saint-André de Roquelongue,,11200,120 rue des écoles,,120 rue des écoles 11200 Saint-André de Roquelongue,,Médiathèque,,04 68 45 17 56,mediatheque-st-andre@wanadoo.fr,,,15h-19h,,9h-12h et 17h-19h,,9h-12h,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.114915,2.838263,ORD,TP,,43.11488,2.83818,Rue des Écoles 11200 Saint-André-de-Roquelongue,0.88,street,11332_0059,,Rue des Écoles,,11200,Saint-André-de-Roquelongue,"11, Aude, Occitanie",11332,,,
Ref_0064,,11,Limoux,,Espace Public Numérique de la MLIDR11 Limoux,,11300,5 avenue de la gare,,5 avenue de la gare 11300 Limoux,,,,04 68 74 70 90,mli.dr11@wanadoo.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.05643,2.221904,,,,43.05643,2.221904,5 Avenue de la Gare 11300 Limoux,0.96,housenumber,11206_0510_00005,5,Avenue de la Gare,,11300,Limoux,"11, Aude, Occitanie",11206,,,
Ref_0065,,11,Laroque de Fa,,Maison de services au public POM'S Laroque de Fa,,11330,6 rue de la mairie,,6 rue de la mairie 11330 Laroque de Fa,,MSAP,,04 68 70 08 27,poms.laroquedefa@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.956407,2.564615,,,,42.956356,2.56445,Rue de la Mairie 11330 Laroque-de-Fa,0.89,street,11191_0024,,Rue de la Mairie,,11330,Laroque-de-Fa,"11, Aude, Occitanie",11191,,,
Ref_0066,,11,Lanet,,Maison de services au public POM'S de Lanet,,11330,Place de la mairie,,Place de la mairie 11330 Lanet,,MSAP,,04 68 70 02 34,poms.lanet@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.964192,2.495528,,,,42.964345,2.492436,Place de la Mairie 11330 Lanet,0.93,street,11187_rkd1x9,,Place de la Mairie,,11330,Lanet,"11, Aude, Occitanie",11187,,,
Ref_0067,,11,Mouthoumet,,ADHCo Centre Social,,11330,23 Rue de la Gare,,23 Rue de la Gare 11330 Mouthoumet,,Centre social,,04 68 70 18 50,adhco.developpement@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.960106,2.528877,,,,42.960106,2.528877,23 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00023,23,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
Ref_0068,,11,Mouthoumet,,Maison de services au public POM'S de Mouthoumet,,11330,12 Rue de la Gare,,12 Rue de la Gare 11330 Mouthoumet,,MSAP,,04 68 42 12 95,poms.mouthoumet@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.960196,2.528048,,,,42.960196,2.528048,12 Rue de la Gare 11330 Mouthoumet,0.94,housenumber,11260_0090_00012,12,Rue de la Gare,,11330,Mouthoumet,"11, Aude, Occitanie",11260,,,
Ref_0069,,11,Félines-Termenès,,Maison de services au public POM'S de Félines-Termenès,,11330,20 Avenue Termenès,,20 Avenue Termenès 11330 Félines-Termenès,,MSAP,,,poms.felines@orange.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,MSAP,Maison de Service Au Public,,,42.989157,2.615493,,,,42.989157,2.615493,20 Avenue du Termenès 11330 Félines-Termenès,0.87,housenumber,11137_0041_00020,20,Avenue du Termenès,,11330,Félines-Termenès,"11, Aude, Occitanie",11137,,,
Ref_0070,,11,Castelnaudary,,Mission Locale Ouest Audois,,11400,53 Boulevard Général Lapasset,,53 Boulevard Général Lapasset 11400 Castelnaudary,,Mission locale,,04 68 23 67,accueil.castelnaudary@mloa.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.321257,1.950321,,,,43.320823,1.950425,Boulevard Lapasset 11400 Castelnaudary,0.75,street,11076_1310,,Boulevard Lapasset,,11400,Castelnaudary,"11, Aude, Occitanie",11076,,,
Ref_0071,,11,Castelnaudary,,Médiathèque Georges Canguilhem,,11400,8 Rue du Commandant Raynal,,8 Rue du Commandant Raynal 11400 Castelnaudary,,Médiathèque,,04 68 94 58 49,mediatheques@cccla.fr,,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.320146,1.949409,ORD,TP,,43.320146,1.949409,8 Rue du Commandant Raynal 11400 Castelnaudary,0.95,housenumber,11076_0785_00008,8,Rue du Commandant Raynal,,11400,Castelnaudary,"11, Aude, Occitanie",11076,,,
Ref_0072,,11,Carcassonne,,Espace de co-oworking : L'Alpha'[R],CARCASSONNE AGGLO,11000,20 Rue Claude Chappe,,20 Rue Claude Chappe 11000 Carcassonne,,,,,rmine@carcassonne-agglo.fr,,,,,,,,,Decembre 2019,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.21177,2.324315,W,,,43.21177,2.324315,20 Rue Claude Chappe 11000 Carcassonne,0.96,housenumber,11069_1009_00020,20,Rue Claude Chappe,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0073,,11,Carcassonne,,Ateliers Canopé,,11000,10 Boulevard Omer Sarraut,,10 Boulevard Omer Sarraut 11000 Carcassonne,Association,,,,contact.atelier11@reseau-canope.fr,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,43.216587,2.352707,,,,43.216587,2.352707,10 Boulevard Omer Sarraut 11000 Carcassonne,0.97,housenumber,11069_3220_00010,10,Boulevard Omer Sarraut,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0074,,11,Carcassonne,,Point Numérique,Préfecture de l'Aude,11000,52 Rue Jean Bringer,,52 Rue Jean Bringer 11000 Carcassonne,,,,04 68 10 27 00,,,,,,,,,,Janvier 2020,TP,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.214867,2.353742,ORD,TP-TP,,43.214867,2.353742,52 Rue Jean Bringer 11000 Carcassonne,0.97,housenumber,11069_2260_00052,52,Rue Jean Bringer,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0075,,11,Limoux,,Point Numérique,Préfecture de l'Aude,11300,12 rue du palais,,12 rue du palais 11300 Limoux,,,,04 68 31 03 50,,,,,,,,,,Janvier 2020,TP,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.054883,2.217804,ORD,TP-TP,,43.054883,2.217804,12 Rue du Palais 11300 Limoux,0.96,housenumber,11206_1020_00012,12,Rue du Palais,,11300,Limoux,"11, Aude, Occitanie",11206,,,
Ref_0076,,11,Vignevieille,,Maison de services au public POM'S de Vignevieille,,11330,6 rue du lavoir,,6 rue du lavoir 11330 Vignevieille,,MSAP,,04 68 70 06 81,poms.vignevieille@orange.fr,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.005662,2.525325,,,,43.005662,2.525325,Rue du Lavoir 11330 Vignevieille,0.88,street,11409_0050,,Rue du Lavoir,,11330,Vignevieille,"11, Aude, Occitanie",11409,,,
Ref_0077,,11,Quillan,,Bibliothèque Municipale de Quillan,,11500,9 Place Raoul de Volontat,,9 Place Raoul de Volontat 11500 Quillan,,Bibliothèque,,04 68 31 15 46,epn@pyreneesaudoises.fr,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.875281,2.183676,ORD,TP,,42.875281,2.183676,9 Place Raoul de Volontat 11500 Quillan,0.95,housenumber,11304_0700_00009,9,Place Raoul de Volontat,,11500,Quillan,"11, Aude, Occitanie",11304,11304,Quillan,
Ref_0078,,11,Villepinte,,Médiathèque de Villepinte,,11150,12 boulevard gambetta,,12 boulevard gambetta 11150 Villepinte,,Médiathèque,,01 55 85 96 33,,,,,,,,,,Janvier 2020,TP,,ORD,,,,,,,,,,,,,,,,,,,,,,,,43.281251,2.088425,ORD,TP,,43.281251,2.088425,12 Boulevard Gambetta 11150 Villepinte,0.95,housenumber,11434_0047_00012,12,Boulevard Gambetta,,11150,Villepinte,"11, Aude, Occitanie",11434,,,
Ref_0079,,11,Narbonne,,MEDIATHEQUE DU GRAND NARBONNE,Grand Narbonne,11100,9 Boulevard Frédéric Mistral,,9 Boulevard Frédéric Mistral 11100 Narbonne,,Médiathèque,,04 68 43 40 40,,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.187582,3.003669,ORD,TP,,43.187582,3.003669,Boulevard Frederic Mistral 11100 Narbonne,0.93,street,11262_2080,,Boulevard Frederic Mistral,,11100,Narbonne,"11, Aude, Occitanie",11262,,,
Ref_0080,,11,LES ILHES CABARDES,,Maison de Services au Public du Haut Cabardès,,11380,Route de Mas-Cabardès,,Route de Mas-Cabardès 11380 LES ILHES CABARDES,,MSAP,,04 68 26 33 22,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.363067,2.376678,,,,43.363067,2.376678,Route de Mas-cabardès 11380 Les Ilhes,0.74,street,11174_0030,,Route de Mas-cabardès,,11380,Les Ilhes,"11, Aude, Occitanie",11174,,,
Ref_0081,,11,Bram,,Pop Coworking,,11150,2 impasse de malepère,,2 impasse de malepère 11150 Bram,,,,06 67 32 58 10,,,,,,,,,,Janvier 2020,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.24197,2.092561,W,,,43.24197,2.092561,2 Impasse de la Malepère 11150 Bram,0.86,housenumber,11049_4154_00002,2,Impasse de la Malepère,,11150,Bram,"11, Aude, Occitanie",11049,,,
Ref_0082,,11,SALLES-SUR-L’HERS,,Cowork'in Ganguise,,11410,Mairie,,Mairie 11410 SALLES-SUR-L’HERS,,,,06 77 87 39 84,,,,,,,,,,Janvier 2020,,,W,,,,,,,,,,,,,,,,,,,,,,,,43.292768,1.780235,W,,,43.292768,1.780235,Salles-sur-l'Hers,0.71,municipality,11371,,Salles-sur-l'Hers,,11410,Salles-sur-l'Hers,"11, Aude, Occitanie",11371,,,
Ref_0083,,11,Sainte-Valière,,Médiathèque Lo Gal,,11120,7 Place de l'Église,,7 Place de l'Église 11120 Sainte-Valière,,Médiathèque,,04 68 46 31 19,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.272781,2.842222,,,,43.272781,2.842222,7 Place de l'Eglise 11120 Sainte-Valière,0.94,housenumber,11366_0020_00007,7,Place de l'Eglise,,11120,Sainte-Valière,"11, Aude, Occitanie",11366,,,
Ref_0084,,11,Rouffiac-d’Aude,,Médiathèque,Carcassonne Agglo,11250,Allée des Marronniers,,Allée des Marronniers 11250 Rouffiac-d’Aude,,Médiathèque,,04 68 26 48 95,mediatheque@carcassonne-agglo.fr,,,,,,,,,Janvier 2020,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,43.128635,2.297558,ORD,TP,,43.128635,2.297558,Allée des Marronniers 11250 Rouffiac-d'Aude,0.95,street,11325_0044,,Allée des Marronniers,,11250,Rouffiac-d'Aude,"11, Aude, Occitanie",11325,,,
Ref_0085,,11,CARCASSONNE,,LIEU RESSOURCES INSERTION,Ligue de l'enseignement,11000,16 rue Fédou,,16 rue Fédou 11000 CARCASSONNE,,,,04 68 25 99 88,lri@ligue11.org,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213587,2.358548,,,,43.213587,2.358548,16 Rue Fédou 11000 Carcassonne,0.97,housenumber,11069_1500_00016,16,Rue Fédou,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0086,,11,Gruissan,,MJC de Gruissan,,11430,Montée du Pech,,Montée du Pech 11430 Gruissan,,,,04 68 49 61 87,,https://www.mjc-gruissan.com/,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.106805,3.090296,,,,43.106805,3.090296,Montee du Pech 11430 Gruissan,0.95,street,11170_0167,,Montee du Pech,,11430,Gruissan,"11, Aude, Occitanie",11170,,,
Ref_0087,,11,Carcassonne,,MJC de Carcassonne,,11000,91 rue Aimé Ramond,,91 rue Aimé Ramond 11000 Carcassonne,,,,04 68 11 17 00,mjc@carca.org,http://carca.org/online/,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,43.211839,2.347837,,,,43.211839,2.347837,91 Rue Aime Ramond 11000 Carcassonne,0.97,housenumber,11069_0080_00091,91,Rue Aime Ramond,,11000,Carcassonne,"11, Aude, Occitanie",11069,,,
Ref_0088,,31,Arbas,,Bibliothèque municipale,Foyer rural,31160,Place de la Mairie,,Place de la Mairie 31160 Arbas,,Bibliothèque,,05 61 98 18 03,bibliotheque@arbas.fr,https://foyerruralarbas.wordpress.com/bibliotheque/,,,,,,,,Decembre 2019,,,ORD,TP,,,,,,,,,,,,,,,,,,,,,,,42.995836,0.907489,ORD,TP,,42.995836,0.907489,Place de la Mairie 31160 Arbas,0.94,street,31011_0120,,Place de la Mairie,,31160,Arbas,"31, Haute-Garonne, Occitanie",31011,,,
Ref_0089,,31,Auterive,,Le foyer Auterive,,31190,1 place du Maréchal Leclerc,,1 place du Maréchal Leclerc 31190 Auterive,,Centre social,,,,centresocialauterive.fr,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,,,Decembre 2019,,,SENS,,,,ORDM,,,,ACCDA,,,,,,,,,,,,,,,,43.352866,1.477881,SENS-ORDM-ACCDA,,,43.352866,1.477881,1 Place du Marechal Leclerc 31190 Auterive,0.96,housenumber,31033_0160_00001,1,Place du Marechal Leclerc,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
Ref_0090,,31,Auterive,,Médiathèque municipale,,31190,780 Route d'Espagne,,780 Route d'Espagne 31190 Auterive,,,,05 82 95 45 75,mediatheque@auterive-ville.fr,,,,,,,,,Decembre 2019,,,ORD,TP,adhésion,,,,,,,,,,,,,,,,,,,,,,43.337717,1.480148,ORD,TP,,43.337717,1.480148,780 Route d'Espagne 31190 Auterive,0.97,housenumber,31033_0085_00780,780,Route d'Espagne,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
Ref_0091,,31,Auterive,,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne RD 820,,ZI Robert Lavigne RD 820 31190 Auterive,Collectivité territoriale,,,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,Decembre 2019,,,ACCDS,TP,Libre,,COMP,Emploi,Libre,,,,,,,,,,,,,,,,,,43.367104,1.447369,ACCDS-COMP,TP-Emploi,,43.366215,1.4509,zi lavigne 31190 Auterive,0.62,street,31033_lyxg2q,,zi lavigne,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
Ref_0092,,31,Auterive,,France Service - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,Rd 820 ZI Robert Lavigne 31190 Auterive,Collectivité territoriale,,,05 61 50 99 00,franceservices@ccba31.fr,,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,-,,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.367104,1.447369,,,,43.366215,1.4509,zi lavigne 31190 Auterive,0.62,street,31033_lyxg2q,,zi lavigne,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
Ref_0093,,31,Auterive,,TL ESPACE FIRMIN PONS,COMMUNE AUTERIVE,31190,780 route d'Espagne,,780 route d'Espagne 31190 Auterive,Collectivité territoriale,,,05.61.50.96.87,dgs@auterive-ville.fr,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.337717,1.480148,,,,43.337717,1.480148,780 Route d'Espagne 31190 Auterive,0.97,housenumber,31033_0085_00780,780,Route d'Espagne,,31190,Auterive,"31, Haute-Garonne, Occitanie",31033,,,
Ref_0094,,31,Bagnères de Luchon,,MJC,,31110,,,31110 Bagnères de Luchon,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,42.791683,0.589935,,,,42.791337,0.589937,Bagnères-de-Luchon,0.94,municipality,31042,,Bagnères-de-Luchon,,31110,Bagnères-de-Luchon,"31, Haute-Garonne, Occitanie",31042,,,
