rh_id,n_ref,not_included,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,bloc_mediations,code_label,label_full,wifi,precisions
RH_fiche_439_,Ref_0439,,,31,=31=,Toulouse,,Lieu Ressources formation,Lieu Ressources formation,31500,1 impasse baurot,,1 impasse baurot 31500 Toulouse,,,Association,,,05 62 48 53 20,,https://www.lrf.asso.fr/,,,,,,,,,Octobre 2020,,,COMP,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,
RH_fiche_440_,Ref_0440,,,31,=31=,COLOMIERS,,Envoi,,31770,3 Avenue Jean Mermoz,,3 Avenue Jean Mermoz 31770 COLOMIERS,,,SASU,,,07 67 89 60 13,mobil-it@envoi-ess.org,https://www.envoi-ess.org/,,,,,,,,,Janvier 2022,TP,Itinérance sur une zone géographique évolutive : Communauté de Communes de la Save au Touch  Blagnac  Agglo du Muretain...,ACCN,TP,Apprentissage d’une démarche numérique (lettre de motivation  adresse mail...)  Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...),,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Apprentissage d’une démarche numérique (lettre de motivation  adresse mail...)  Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...)</li></ul></p>",SENS,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCDA,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",COMP,TP,Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...),"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...)</li></ul></p>",ENT,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br></li></ul></p>","<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Apprentissage d’une démarche numérique (lettre de motivation  adresse mail...)  Démarche simple en ligne liée à un droit (aller chercher une attestation sur son espace personnel  transmettre une pièce jointe  faire une déclaration trimestrielle...)</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Sessions d’apprentissage collectives sur des compétences numériques (avec ou sans Pix  Aptic...)  Atelier collectif autour de l’informatique  dont le but principal est l’entraide  la lutte contre l’isolement et le lien social. La notion de montée en compétences est secondaire.  Ateliers collectifs proposant du contenu relatif à la sensibilisation à l’informatique et la prévention des risques sur internet (médias en ligne  jeux vidéos  promotion de logiciels libres...)</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br></li></ul></p>",APTIC,APTIC,oui,
RH_fiche_441_,Ref_0441,,,31,=31=,Toulouse,,Face Grand Toulouse,,31500,32 rue de la Caravelle,,32 rue de la Caravelle 31500 Toulouse,,,,,,05 34 42 07 22,face.grandtoulouse@fondationface.org,https://www.facegrandtoulouse.org/,,,,,,,,,Octobre 2020,,,COMP,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",APTIC,APTIC,,
RH_fiche_442_,Ref_0442,,,31,=31=,Rieumes,,MJC Rieumes,,31370,410 rue du pigeonnier,,410 rue du pigeonnier 31370 Rieumes,,,,,,06 49 04 78 81,contact@mjcrieumesetsaves.com,https://mjcrieumesetsaves.com/,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_443_,Ref_0443,,,31,=31=,Lherm,,MJC Lherm,,31600,2 av de Gascogne,,2 av de Gascogne 31600 Lherm,,,,,,05 61 56 02 32,accueilmjclherm@orange.fr,https://www.mjclherm.fr/,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_444_,Ref_0444,,,31,=31=,Le Fousseret,,Espace de vie sociale Foyers Ruraux,Foyer rural,31430,136 route de Pouy-de-Touges,,136 route de Pouy-de-Touges 31430 Le Fousseret,,,,,,09 81 22 02 28,guillaume.castaing@mouvement-rural.org,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_445_,Ref_0445,,,31,=31=,Launac,,Club informatique,CCAS de Launac,31330,1 Place des Jardins Galembrun,,1 Place des Jardins Galembrun 31330 Launac,,,,,,,,,,,,,,,,,Octobre 2020,,,COMP,TP,sur inscription,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>sur inscription</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>sur inscription</li></ul></p>",,,,
RH_fiche_446_,Ref_0446,,,31,=31=,Grenade,,CCAS Grenade,,31330,17 avenue Lazare Carnot,,17 avenue Lazare Carnot 31330 Grenade,,,Collectivités,,,05 61 37 66 00,contact@mairie-grenade.fr,https://www.mairie-grenade.fr/social-sante/ccas/,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_447_,Ref_0447,,,31,=31=,Toulouse,,Lien social insertion et solidarité (ALIS),,31100,3 Cheminement Robert Cambert,,3 Cheminement Robert Cambert 31100 Toulouse,,,Association,,,,,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_448_,Ref_0448,,,31,=31=,Lasserre-Pradère,,Association Macarion,,31530,2 place de la Mairie,,2 place de la Mairie 31530 Lasserre-Pradère,,,Association,,,05 61 06 04 62,macarion31@gmail.com,,,,,,,,,,Octobre 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RH_fiche_449_,Ref_0449,,,31,=31=,Toulouse,,La Compagnie du code,,31000,62 rue Matabiau,,62 rue Matabiau 31000 Toulouse,,,SARL en SCIC,,,05 32 10 83 40,contact@lacompagnieducode.org,https://www.lacompagnieducode.org/,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,De 14h à 19h en semaine  hors vacances scolaires  de 9h00 à 12h30 et de 14h00 à 17h30 pendant les vacances scolaires,,,,Novembre 2020,,,COMP,Sur notre site internet : https://www.lacompagnieducode.org/ateliers-stages-programmation-informatique-adultes-toulouse/ Carnet de 10 tickets  séances ouvertes les mardi après-midis et les jeudis soirs. 209 € le carnet de 10 tickets  possibilité d'imprimer. Ordinateurs portables. Protocole sanitaire lié au site. Masques et distanciation respectés. Un intervenant pro en accompagnement sur les créneaux ouverts. Possibilité d'en ouvrir d'autres.,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ENT,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",SENS,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",REP,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers de réparation de matériel informatique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers collectifs d’entraide autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers de réparation de matériel informatique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,
RH_fiche_450_,Ref_0450,,,31,=31=,Toulouse,,Wild Code School,,31300,18 place Roguet,,18 place Roguet 31300 Toulouse,,,,,,666476870,audrey.cassagnet@wildcodeschool.com,www.wildcodeschool.com/fr-FR/campus/toulouse,9h à 17h,9h à 17h,9h à 17h,9h à 17h,9h à 17h,,,,Novembre 2020,,,PRO,TP,"Formation développeur web intensive : devenez développeur en 5 mois et apprenez à coder en Javascript ou C# !  La formation prépare au titre professionnel ""Développeur Web et Web Mobile"" (équivalent Bac+2)  inscrit au RNCP. Elle est ouverte à tous  sans condition de diplôme ni pré-requis. Nous recherchons avant tout un état d'esprit caractérisé par l'envie de réussir  la créativité pour trouver des solutions et la capacité à travailler en équipe. Le programme de la formation développeur web est très intensif et pratique. L'objectif est de permettre à toute personne  quelque soit son niveau initial  d'acquérir les compétences techniques et humaines nécessaires afin de débuter une carrière dans la tech en tant que développeur web. ",,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Formation développeur web intensive : devenez développeur en 5 mois et apprenez à coder en Javascript ou C# !  La formation prépare au titre professionnel ""Développeur Web et Web Mobile"" (équivalent Bac+2)  inscrit au RNCP. Elle est ouverte à tous  sans condition de diplôme ni pré-requis. Nous recherchons avant tout un état d'esprit caractérisé par l'envie de réussir  la créativité pour trouver des solutions et la capacité à travailler en équipe. Le programme de la formation développeur web est très intensif et pratique. L'objectif est de permettre à toute personne  quelque soit son niveau initial  d'acquérir les compétences techniques et humaines nécessaires afin de débuter une carrière dans la tech en tant que développeur web. </li></ul></p>",COMP,TP,Nous organisons une fois par trimestre un atelier de découverte du code  gratuit et ouvert à tous,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Nous organisons une fois par trimestre un atelier de découverte du code  gratuit et ouvert à tous</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Formation développeur web intensive : devenez développeur en 5 mois et apprenez à coder en Javascript ou C# !  La formation prépare au titre professionnel ""Développeur Web et Web Mobile"" (équivalent Bac+2)  inscrit au RNCP. Elle est ouverte à tous  sans condition de diplôme ni pré-requis. Nous recherchons avant tout un état d'esprit caractérisé par l'envie de réussir  la créativité pour trouver des solutions et la capacité à travailler en équipe. Le programme de la formation développeur web est très intensif et pratique. L'objectif est de permettre à toute personne  quelque soit son niveau initial  d'acquérir les compétences techniques et humaines nécessaires afin de débuter une carrière dans la tech en tant que développeur web. </li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Nous organisons une fois par trimestre un atelier de découverte du code  gratuit et ouvert à tous</li></ul></p>",,,,
RH_fiche_451_,Ref_0451,,,11,=11=,Escales,,NUM.IN.OC  atelier numérique de l'association ATO MOSSU,,11200,1 rue du Mûrier,,1 rue du Mûrier 11200 Escales,,,Association,intervention itinérante,,06 32 98 44 76,numinoc@gmail.com,https://www.inclusion-numerique-occitanie.fr/,9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),9 h 00 à 19 h 00 (prendre RDV),,,Novembre 2020,,,ORDM,SEN-J-DE-E-ALL,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCN,SEN-J-DE-E-ALL,"Capacité d'accueil max. : 3 Toutefois  la particularité de ces ""urgences et ateliers numériques"" sont d'offrir un parcours personnalisé et souvent en lien avec la (les) difficulté(s) rencontrée(s) par l'usager. De fait  num.in.oc privilégie l'accueil et l'accompagnement d'une seule personne à la fois.",,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Capacité d'accueil max. : 3 Toutefois  la particularité de ces ""urgences et ateliers numériques"" sont d'offrir un parcours personnalisé et souvent en lien avec la (les) difficulté(s) rencontrée(s) par l'usager. De fait  num.in.oc privilégie l'accueil et l'accompagnement d'une seule personne à la fois.</li></ul></p>",ACCDS,SEN-J-DE-E-ALL,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCDA,SEN-J-DE-E-ALL,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",W,SEN-J-DE-E-ALL,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>...</li><br><li><b>infos : </b><br></li></ul></p>","<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Capacité d'accueil max. : 3 Toutefois  la particularité de ces ""urgences et ateliers numériques"" sont d'offrir un parcours personnalisé et souvent en lien avec la (les) difficulté(s) rencontrée(s) par l'usager. De fait  num.in.oc privilégie l'accueil et l'accompagnement d'une seule personne à la fois.</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>...</li><br><li><b>infos : </b><br></li></ul></p>",APTIC,APTIC,,
RH_fiche_452_,Ref_0452,,,31,=31=,Montlaur,,Mon Assistant Numérique Nord Lauragais,,31450,1000 Route de Potié,,1000 Route de Potié 31450 Montlaur,,,Micro-Entrepreneur,Intervention itinérante  possible à domicile ou auprès de structures ou collectivités,,06 07 36 40 17,shumbertdroz@pratimedia.com,https://www.monassistantnumerique.com/home/reseau/accompagnement-numerique-sur-toulouse-et-le-haut-lauragais/,Sur rdv,Sur rdv,Sur rdv,Sur rdv,Sur rdv,,,,Novembre 2020,,,ACCN,TP,Possible de mettre à disposition du matériel durant la médiation,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Possible de mettre à disposition du matériel durant la médiation</li></ul></p>",ACCDS,TP,Possible de mettre à disposition du matériel durant la médiation,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Possible de mettre à disposition du matériel durant la médiation</li></ul></p>",COMP,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Possible de mettre à disposition du matériel durant la médiation</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Possible de mettre à disposition du matériel durant la médiation</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",APTIC,APTIC,oui,
RH_fiche_453_,Ref_0453,,,31,=31=,Toulouse,,La Tech Academy,,31000,76 allée Jean Jaurès,,76 allée Jean Jaurès 31000 Toulouse,,,,,,05 61 72 24 09,info@techacademy.fr,http://www.techacademy.fr,8h30 à 18h,8h30 à 18h,8h30 à 18h,8h30 à 18h,8h30 à 18h,,,,Novembre 2020,,,ORDM,TP,2 ordinateurs sont toujours disponibles en libre-service avec un accès internet.,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>2 ordinateurs sont toujours disponibles en libre-service avec un accès internet.</li></ul></p>",PRO,TP,Nous proposons des cursus de reconversion professionnelle dans l'informatique avec des cursus pour devenir développeur web  développeur mobile ou devops.,Prestataire : Laurie Pujos,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Nous proposons des cursus de reconversion professionnelle dans l'informatique avec des cursus pour devenir développeur web  développeur mobile ou devops.</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>2 ordinateurs sont toujours disponibles en libre-service avec un accès internet.</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Formation numérique professionnalisante</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Nous proposons des cursus de reconversion professionnelle dans l'informatique avec des cursus pour devenir développeur web  développeur mobile ou devops.</li></ul></p>",,,oui,
RH_fiche_454_,Ref_0454,,,31,=31=,Toulouse,,Secours populaire français,Secours populaire,31200,147 Avenue des Etats Unis,,147 Avenue des Etats Unis 31200 Toulouse,,,Association,,,05 34 40 34 40,contact@spf31.org,https://www.secourspopulaire.fr/31/,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,9h00 à 12h00 et de 14h00 à 17h30,,,,Novembre 2020,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCN,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",REP,TP,Vente de matériel à bas prix,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers de réparation de matériel informatique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Vente de matériel à bas prix</li></ul></p>",ACCDA,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",COMP,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br></li></ul></p>","<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers de réparation de matériel informatique</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Vente de matériel à bas prix</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br></li></ul></p>",,,oui,
