rh_id,n_ref,statut_infos,departement,code_departement,ville,code_commune,nom,structure_porteuse,code_postal,adresse,adresse_suite,adresse_full,geo_lat,geo_lon,nature_juridique,type_lieu,rattachement,tel_structure,email_structure,site_internet,lundi,mardi,mercredi,jeudi,vendredi,samedi,dimanche,horaires_semaine,date_maj,public_toutes_actions,conditions_acces_toutes_actions,type_mediation_1,public_si_different_1,conditions_acces_si_diff_1,presta_mediation_1,bloc_mediation_1,type_mediation_2,public_si_different_2,conditions_acces_si_diff_2,presta_mediation_2,bloc_mediation_2,type_mediation_3,public_si_different_3,conditions_acces_si_diff_3,presta_mediation_3,bloc_mediation_3,type_mediation_4,public_si_different_4,conditions_acces_si_diff_4,presta_mediation_4,bloc_mediation_4,type_mediation_5,public_si_different_5,conditions_acces_si_diff_5,presta_mediation_5,bloc_mediation_5,bloc_mediations,code_label,label_full,wifi,precisions,lat,lon,codes_types_mediations,codes_publics,codes_thematiques,code_departement
RH_fiche_76_,Ref_0076,,11,=11=,Vignevieille,,Maison de services au public POM'S de Vignevieille,,11330,6 rue du lavoir,,6 rue du lavoir 11330 Vignevieille,,,,MSAP,,04 68 70 06 81,poms.vignevieille@orange.fr,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.005662,2.525325,,,,=11=
RH_fiche_77_,Ref_0077,,11,=11=,Quillan,,Bibliothèque Municipale de Quillan,,11500,9 Place Raoul de Volontat,,9 Place Raoul de Volontat 11500 Quillan,,,,Bibliothèque,,04 68 31 15 46,epn@pyreneesaudoises.fr,,,,,,,,,,Janvier 2020,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,42.875281,2.183676,ORD,TP,,=11=
RH_fiche_78_,Ref_0078,,11,=11=,Villepinte,,Médiathèque de Villepinte,,11150,12 boulevard gambetta,,12 boulevard gambetta 11150 Villepinte,,,,Médiathèque,,01 55 85 96 33,,,,,,,,,,,Janvier 2020,TP,,ORD,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.281251,2.088425,ORD,TP,,=11=
RH_fiche_79_,Ref_0079,,11,=11=,Narbonne,,MEDIATHEQUE DU GRAND NARBONNE,Grand Narbonne,11100,9 Boulevard Frédéric Mistral,,9 Boulevard Frédéric Mistral 11100 Narbonne,,,,Médiathèque,,04 68 43 40 40,,,,,,,,,,,Janvier 2020,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.187582,3.003669,ORD,TP,,=11=
RH_fiche_80_,Ref_0080,,11,=11=,LES ILHES CABARDES,,Maison de Services au Public du Haut Cabardès,,11380,Route de Mas-Cabardès,,Route de Mas-Cabardès 11380 LES ILHES CABARDES,,,,MSAP,,04 68 26 33 22,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.363067,2.376678,,,,=11=
RH_fiche_81_,Ref_0081,,11,=11=,Bram,,Pop Coworking,,11150,2 impasse de malepère,,2 impasse de malepère 11150 Bram,,,,,,06 67 32 58 10,,,,,,,,,,,Janvier 2020,,,W,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.24197,2.092561,W,,,=11=
RH_fiche_82_,Ref_0082,,11,=11=,SALLES-SUR-L’HERS,,Cowork'in Ganguise,,11410,Mairie,,Mairie 11410 SALLES-SUR-L’HERS,,,,,,06 77 87 39 84,,,,,,,,,,,Janvier 2020,,,W,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.292768,1.780235,W,,,=11=
RH_fiche_83_,Ref_0083,,11,=11=,Sainte-Valière,,Médiathèque Lo Gal,,11120,7 Place de l'Église,,7 Place de l'Église 11120 Sainte-Valière,,,,Médiathèque,,04 68 46 31 19,,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.272781,2.842222,,,,=11=
RH_fiche_84_,Ref_0084,,11,=11=,Rouffiac-d’Aude,,Médiathèque,Carcassonne Agglo,11250,Allée des Marronniers,,Allée des Marronniers 11250 Rouffiac-d’Aude,,,,Médiathèque,,04 68 26 48 95,mediatheque@carcassonne-agglo.fr,,,,,,,,,,Janvier 2020,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.128635,2.297558,ORD,TP,,=11=
RH_fiche_85_,Ref_0085,,11,=11=,CARCASSONNE,,LIEU RESSOURCES INSERTION,Ligue de l'enseignement,11000,16 rue Fédou,,16 rue Fédou 11000 CARCASSONNE,,,,,,04 68 25 99 88,lri@ligue11.org,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.213587,2.358548,,,,=11=
RH_fiche_86_,Ref_0086,,11,=11=,Gruissan,,MJC de Gruissan,,11430,Montée du Pech,,Montée du Pech 11430 Gruissan,,,,,,04 68 49 61 87,,https://www.mjc-gruissan.com/,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.106805,3.090296,,,,=11=
RH_fiche_87_,Ref_0087,,11,=11=,Carcassonne,,MJC de Carcassonne,,11000,91 rue Aimé Ramond,,91 rue Aimé Ramond 11000 Carcassonne,,,,,,04 68 11 17 00,mjc@carca.org,http://carca.org/online/,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.211839,2.347837,,,,=11=
RH_fiche_88_,Ref_0088,,31,=31=,Arbas,,Bibliothèque municipale,Foyer rural,31160,Place de la Mairie,,Place de la Mairie 31160 Arbas,,,,Bibliothèque,,05 61 98 18 03,bibliotheque@arbas.fr,https://foyerruralarbas.wordpress.com/bibliotheque/,,,,,,,,,Decembre 2019,,,ORD,TP,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,42.995836,0.907489,ORD,TP,,=31=
RH_fiche_89_,Ref_0089,,31,=31=,Auterive,,Le foyer Auterive,,31190,1 place du Maréchal Leclerc,,1 place du Maréchal Leclerc 31190 Auterive,,,,Centre social,,,,centresocialauterive.fr,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,10h à 12h et de 14h à 18h,,,<p><br><ul><li>lundi : 10h à 12h et de 14h à 18h</li><li>mardi : 10h à 12h et de 14h à 18h</li><li>mercredi : 10h à 12h et de 14h à 18h</li><li>jeudi : 10h à 12h et de 14h à 18h</li><li>vendredi : 10h à 12h et de 14h à 18h</li></ul></p>,Decembre 2019,,,SENS,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ORDM,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ACCDA,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Sensibilisation autour du numérique</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel approfondi accès aux droits</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.352866,1.477881,SENS-ORDM-ACCDA,,,=31=
RH_fiche_90_,Ref_0090,,31,=31=,Auterive,,Médiathèque municipale,,31190,780 Route d'Espagne,,780 Route d'Espagne 31190 Auterive,,,,,,05 82 95 45 75,mediatheque@auterive-ville.fr,,,,,,,,,,Decembre 2019,,,ORD,TP,adhésion,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>adhésion</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur en libre service</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>adhésion</li></ul></p>",,,,,43.337717,1.480148,ORD,TP,,=31=
RH_fiche_91_,Ref_0091,,31,=31=,Auterive,,Communauté de communes de bassin auterivain,,31190,ZI Robert Lavigne RD 820,,ZI Robert Lavigne RD 820 31190 Auterive,,,Collectivité territoriale,,,05 61 50 99 00,,http://annuaire.auterive31.fr/front/index.php?membre=1687,,,,,,,,,Decembre 2019,,,ACCDS,TP,Libre,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Libre</li></ul></p>",COMP,Emploi,Libre,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Libre</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel accès aux droits simple</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Libre</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>Libre</li></ul></p>",,,,,43.367104,1.447369,ACCDS-COMP,TP-Emploi,,=31=
RH_fiche_92_,Ref_0092,,31,=31=,Auterive,,France Service - CC Bassin Auterivain,Communauté de communes,31190,Rd 820 ZI Robert Lavigne,,Rd 820 ZI Robert Lavigne 31190 Auterive,,,Collectivité territoriale,,,05 61 50 99 00,franceservices@ccba31.fr,,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,de 09h00 à 12h30 de 13h30 à 17h00,-,,<p><br><ul><li>lundi : de 09h00 à 12h30 de 13h30 à 17h00</li><li>mardi : de 09h00 à 12h30 de 13h30 à 17h00</li><li>mercredi : de 09h00 à 12h30 de 13h30 à 17h00</li><li>jeudi : de 09h00 à 12h30 de 13h30 à 17h00</li><li>vendredi : de 09h00 à 12h30 de 13h30 à 17h00</li><li>samedi : -</li></ul></p>,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.367104,1.447369,,,,=31=
RH_fiche_93_,Ref_0093,,31,=31=,Auterive,,TL ESPACE FIRMIN PONS,COMMUNE AUTERIVE,31190,780 route d'Espagne,,780 route d'Espagne 31190 Auterive,,,Collectivité territoriale,,,05.61.50.96.87,dgs@auterive-ville.fr,,,,,,,,,,Janvier 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.337717,1.480148,,,,=31=
RH_fiche_94_,Ref_0094,,31,=31=,Bagnères de Luchon,,MJC,,31110,,,31110 Bagnères de Luchon,,,,,,,luchon@mjc-midi-pyrenees.com,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.791683,0.589935,,,,=31=
RH_fiche_95_,Ref_0095,,31,=31=,Escalquens,,Le 100eme singe,,31750,13 avenue de la mairie,,13 avenue de la mairie 31750 Escalquens,,,Association,,,,lecentiemesinge@gmail.com,https://le100esinge.com/,,,,,,,,,Février 2021,,,W,TP,Mise à disposition des espaces de travail partagé  pouvant devenir un facteur de réseaux professionnels,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Mise à disposition des espaces de travail partagé  pouvant devenir un facteur de réseaux professionnels</li></ul></p>",ACCN,J DE ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur  nos voisins.,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur  nos voisins.</li></ul></p>",FL,TP,Activité en co-portage avec Escale Bricole (https://escale-bricole.fr/),,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Activité en co-portage avec Escale Bricole (https://escale-bricole.fr/)</li></ul></p>",COMP,J ALL,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.</li></ul></p>",,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Espace de co-working</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Mise à disposition des espaces de travail partagé  pouvant devenir un facteur de réseaux professionnels</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Accompagnement individuel des actions uniquement numériques</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur  nos voisins.</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">FabLab</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Activité en co-portage avec Escale Bricole (https://escale-bricole.fr/)</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>L'activité est en développement  notre médiatrice numérique est formée à l'e-inclusion professionnelle pour la jeunesse et nous tendons vers l'accès au numérique pour le public des restos du coeur.</li></ul></p>",TL,Tiers lieu,oui,,43.517589,1.55772,W-ACCN-FL-COMP,TP-J DE ALL-TP-J ALL,,=31=
RH_fiche_96_,Ref_0096,,31,=31=,Bessieres,,France Services - Val Aïgo Antenne de Bessières,Communauté de communes Val'Aïgo,31660,26 Place du souvenir,,26 Place du souvenir 31660 Bessieres,,,Collectivité territoriale,,,,cias2@valaigo.fr,,9:00 - 12:30 / 14:00 - 17:00,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,9:00 - 12:30 / Sur RDV : après-midi,-,,<p><br><ul><li>lundi : 9:00 - 12:30 / 14:00 - 17:00</li><li>mardi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>mercredi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>jeudi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>vendredi : 9:00 - 12:30 / Sur RDV : après-midi</li><li>samedi : -</li></ul></p>,Juin 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MFS,France Services,,,43.800751,1.606565,,,,=31=
RH_fiche_97_,Ref_0097,,31,=31=,Blagnac,,Mairie de Blagnac,,31700,1 place des Arts,,1 place des Arts 31700 Blagnac,,,Collectivité territoriale,,,05 61 71 72 00,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.635319,1.39838,,,,=31=
RH_fiche_98_,Ref_0098,,31,=31=,Blagnac,,MJC DES ARTS BLAGNAC,,31700,2 rue de la Croix Blanche,,2 rue de la Croix Blanche 31700 Blagnac,,,Association,,,05 34 26 52 75,contact@mjc-arts-blagnac.com,https://www.mjc-arts-blagnac.com/,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.63351,1.39861,,,,=31=
RH_fiche_99_,Ref_0099,,31,=31=,Cazères,,Maison Pour tous,,31220,6 rue des Capucins,,6 rue des Capucins 31220 Cazères,,,,Centre social,,,,www.mptcazeres.fr,,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",ORDM,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p><hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ordinateur avec médiateur.rice</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.20428,1.08388,COMP-ORDM,TP,,=31=
RH_fiche_100_,Ref_0100,,31,=31=,Cintegabelle,,Foyer rural « La Gabela »,,31550,mairie,,mairie 31550 Cintegabelle,,,,Foyer rural,,,,,,,,,,,,,Decembre 2019,TP,Libre,COMP,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>non renseigné</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.271251,1.558482,COMP,TP,,=31=
RH_fiche_101_,Ref_0101,,31,=31=,Clarac,,foyer rural Clarac,,31210,Chemin de Sainte Anne,,Chemin de Sainte Anne 31210 Clarac,,,Association,Foyer rural,,05 61 89 70 64,foyer-rural-clarac@orange.fr,http://www.foyerruralclarac.org/accueil.html,,,,,,,,,Decembre 2019,,,COMP,TP,Libre,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Libre</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>tout public</li><br><li><b>infos : </b><br>Libre</li></ul></p>",,,,,43.097976,0.62331,COMP,TP,,=31=
RH_fiche_102_,Ref_0102,,31,=31=,Colomiers,,Mairie,,31770,,,31770 Colomiers,,,Collectivité territoriale,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.609804,1.32962,,,,=31=
RH_fiche_103_,Ref_0103,,31,=31=,Colomiers,,CCAS,,31770,18 PLACE DU LANGUEDOC,,18 PLACE DU LANGUEDOC 31770 Colomiers,,,Collectivité territoriale,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6109,1.33016,,,,=31=
RH_fiche_104_,Ref_0104,,31,=31=,Colomiers,,LA MIJOTEUSE,COMMUNE DE COLOMIERS,31770,Place Joseph Verseille,,Place Joseph Verseille 31770 Colomiers,,,Collectivité territoriale,,,06.38.50.65.31.,christine.gouaux@mairie-colomiers.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.609555,1.339555,,,,=31=
RH_fiche_105_,Ref_0105,,31,=31=,Colomiers,,Point Rencontres Chomeurs Precaires (PRCP),,31770,2 Allée du Vignemale,,2 Allée du Vignemale 31770 Colomiers,,,,,,,,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APTIC,APTIC,,,43.60514,1.333515,,,,=31=
RH_fiche_106_,Ref_0106,,31,=31=,Fenouillet,,Association Femmes du Monde,,31150,,,31150 Fenouillet,,,Association,Centre social,,05 31 48 50 99 06 27 20 24 70,asso.femmesdumonde@gmail.com,http://femmes-du-monde-31.blogspot.fr/,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.684445,1.391525,,,,=31=
RH_fiche_107_,Ref_0107,,31,=31=,La Salvetat Saint Gilles,,centre social F Chopin,,31880,Rue Frédéric Chopin,,Rue Frédéric Chopin 31880 La Salvetat Saint Gilles,,,,Centre social,,05.34.52.70.96,,,,,,,,,,,Decembre 2019,,,COMP,SEN,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>Seniors</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,,,,,,,,,,,,,,,,,"<hr><p class=""has-text-weight-semibold has-text-primary has-text-primary-c mb-1"">Ateliers informatiques de montée en compétences</p><p><ul><li><b>public : </b><br>Seniors</li><br><li><b>infos : </b><br>non renseigné</li></ul></p>",,,,,43.575575,1.273254,COMP,SEN,,=31=
RH_fiche_108_,Ref_0108,,31,=31=,Labège,,ASSOCIATION IOT VALLEY,,31670,425 rue Jean Rostand,,425 rue Jean Rostand 31670 Labège,,,Association,,,,bertran@iot-valley.fr,,,,,,,,,,Decembre 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL,Tiers lieu,,,43.543887,1.511505,,,,=31=
